"Story","Title","Result","Date","Stability","Duration (s)"
"Get Pet","[TC-001] Validate that sending a Request to get Pet details with an existing id works","SUCCESS","2024-05-31T03:02:28.8757852-03:00[America/Buenos_Aires]","0.0","1.93"
"Get Pet","[TC-002] Validate that send a Request to get Pet details with a non existing id errors","SUCCESS","2024-05-31T03:02:30.8081829-03:00[America/Buenos_Aires]","0.0","0.03"
"Create Pet","[TC-003] Validate that sending a Request to create a Pet with valid data works","SUCCESS","2024-05-31T03:02:30.8478925-03:00[America/Buenos_Aires]","0.0","0.21"
"Create Pet","[TC-004] Validate that sending a Request to create a Pet with invalid data errors","SUCCESS","2024-05-31T03:02:31.0573739-03:00[America/Buenos_Aires]","0.0","0.05"
"Delete Order","[TC-005] Validate that sending a Request to Delete an order with a valid id works","SUCCESS","2024-05-31T03:02:31.1156435-03:00[America/Buenos_Aires]","0.0","0.03"
"Update Pet","[TC-006] Validate that sending a Request to update a Pet with valid data works","SUCCESS","2024-05-31T03:02:31.1466525-03:00[America/Buenos_Aires]","0.0","0.04"
"Update Pet","[TC-007] Validate that sending a Request to update a Pet with invalid data errors","SUCCESS","2024-05-31T03:02:31.1942421-03:00[America/Buenos_Aires]","0.0","0.04"
