"Story","Title","Result","Date","Stability","Duration (s)"
"Get Pet","[TC-001] Validate that sending a Request to get Pet details with an existing id works","SUCCESS","2024-05-31T02:51:04.1611541-03:00[America/Buenos_Aires]","0.0","1.94"
"Get Pet","[TC-002] Validate that send a Request to get Pet details with a non existing id errors","SUCCESS","2024-05-31T02:51:06.1081725-03:00[America/Buenos_Aires]","0.0","0.05"
"Create Pet","[TC-003] Validate that sending a Request to create a Pet with valid data works","SUCCESS","2024-05-31T02:51:06.1581435-03:00[America/Buenos_Aires]","0.0","0.2"
"Create Pet","[TC-004] Validate that sending a Request to create a Pet with invalid data errors","SUCCESS","2024-05-31T02:51:06.3578398-03:00[America/Buenos_Aires]","0.0","0.07"
"Delete Order","[TC-005] Validate that sending a Request to Delete an order with a valid id works","SUCCESS","2024-05-31T02:51:06.4350803-03:00[America/Buenos_Aires]","0.0","0.03"
"Update Pet","[TC-006] Validate that sending a Request to update a Pet with valid data works","SUCCESS","2024-05-31T02:51:06.4675635-03:00[America/Buenos_Aires]","0.0","0.05"
"Update Pet","[TC-007] Validate that sending a Request to update a Pet with invalid data errors","SUCCESS","2024-05-31T02:51:06.5182751-03:00[America/Buenos_Aires]","0.0","0.06"
